name,longitude,latitude
SHAKOTAN (RU),146.833333,43.866667
EL GHARDAQA (EG),33.85,27.216667
RAS SHUKHIER (EG),33.283333,28.133333
RAS GHARIB (EG),33.1,28.35
AS SUWAYS (EG),32.55,29.966667
EL-ADABIYA (EG),32.466667,29.866667
EL ISMAILIYA (EG),32.283333,30.583333
RAS ABU ZANIMAH (EG),33.116667,29.033333
WADI FEIRAN (EG),33.2,28.75
DE KASTRI (RU),140.783333,51.466667
NIKOLAYEVSK NA AMUR (RU),140.733333,53.133333
OKHA (RU),143.0,53.55
PORONAYSK (RU),143.133333,49.216667
KORSAKOV (RU),142.766667,46.616667
NEVELSK (RU),141.866667,46.666667
KHOLMSK (RU),142.05,47.05
UGLEGORSK (RU),142.033333,49.083333
LESOGORSK (RU),142.133333,49.45
LOMONOSOV (RU),29.766667,59.916667
KRONSHTADT (RU),29.783333,59.983333
REKA LUGA (RU),28.316667,59.666667
BALTIYSK (RU),19.9,54.633333
KALININGRAD (RU),20.483333,54.7
ZAFARANA TERMINAL (EG),32.683333,29.166667
ZEIT BAY LPG TERMINAL (EG),33.566667,27.8
DORALEH (DJ),43.083333,11.6
BOOSAASO (SO),49.183333,11.283333
AL KHAIR OIL TERMINAL (SD),37.25,19.583333
BESHAYER OIL TERMINAL (SD),37.316667,19.4
SAWAKIN HARBOR (SD),37.35,19.133333
AIN SUKHNA TERMINAL (EG),32.366667,29.583333
RAS ISA MARINE TERMINAL (YE),42.6,15.133333
PETROPAVLOVSK (RU),158.65,53.05
NIKOL SKOYE (RU),165.983333,55.2
PROVIDENIYA (RU),-173.233333,64.416667
TIKSI (RU),128.866667,71.633333
PEVEK (RU),170.3,69.716667
PORT DIKSON (RU),80.516667,73.5
DUDINKA (RU),86.166667,69.4
IGARKA (RU),86.6,67.483333
MEZEN (RU),44.183333,65.833333
ARKHANGELS'K (RU),40.533333,64.533333
EAST ZEIT TERMINAL (EG),33.6,27.85
SHARM EL SHEIKH (EG),34.283333,27.85
EL TUR HARBOR (EG),33.616667,28.233333
NUWEIBA EL MUZEIMA (EG),34.65,28.966667
NORTH AIN SUKHNA PORT (EG),32.366667,29.65
SHAKHTERSK (RU),142.066667,49.166667
KAVKAZ OIL TERMINAL (RU),36.65,45.333333
ZARUBINO (RU),131.083333,42.633333
VITAZ MARINE TERMINAL (RU),143.55,52.7
CHORNOMORS KE (UA),32.7,45.516667
YEVPATORIYA (UA),33.383333,45.2
SEVASTOPOL (UA),33.533333,44.616667
BALAKLAVA (UA),33.6,44.5
YALTA (UA),34.166667,44.483333
ALUSHTA (UA),34.416667,44.683333
SUDAK (UA),34.983333,44.85
FEODOSIYA (UA),35.433333,45.016667
SEVERODVINSK (RU),39.783333,64.566667
RABOCHEOSTROVSK (RU),34.783333,64.983333
KANDALAKSHA (RU),32.416667,67.133333
BOLSHAYA PIRYU GUBA (RU),34.366667,66.666667
OSTROVNOY GREMIKHA (RU),39.516667,68.05
MURMANSK (RU),33.05,68.983333
MYS ABRAM (RU),33.033333,68.983333
BUKHTA NAGAYEVA (MAGADAN) (RU),150.716667,59.566667
RAS BADRAN OIL TERMINAL (EG),33.166667,28.95
SOKHNA PORT GAS TANKER TERMINAL (EG),32.366667,29.683333
RUDUM TERMINAL (YE),47.916667,13.983333
BALHAF (YE),48.183333,13.966667
INHAMBANE (MZ),35.4,-23.916667
BEIRA (MZ),34.833333,-19.833333
PORTO BELO (MZ),37.183333,-17.7
PEBANE (MZ),38.15,-17.266667
PEMBA (MZ),40.5,-12.966667
IBO (MZ),40.616667,-12.333333
KILWA KIVINJE (TZ),39.416667,-8.733333
MJIMWEMA TERMINAL (TZ),39.366667,-6.816667
TANGA (TZ),39.116667,-5.083333
ZANZIBAR (TZ),39.183333,-6.166667
KISMAAYO (SO),42.55,-0.366667
BARAAWE (SO),44.05,1.1
KERCH (UA),36.483333,45.35
HENICHESK (UA),34.816667,46.166667
KYRYLIVKA (UA),35.366667,46.35
BERDYANSK (UA),36.783333,46.75
MARIUPOL (UA),37.566667,47.083333
TAGANROG (RU),38.95,47.2
ROSTOV-NA-DONU (RU),39.716667,47.166667
AZOV (RU),39.433333,47.1
YEYSK (RU),38.266667,46.733333
TEMRYUK (RU),37.35,45.35
ANAPA (RU),37.316667,44.883333
NOVOROSSIYSK (RU),37.783333,44.716667
TUAPSE (RU),39.066667,44.1
SOCHI (RU),39.733333,43.583333
ADLER (RU),39.933333,43.433333
SKADOVS'K (UA),32.916667,46.1
KHORLY (UA),33.283333,46.083333
IZMAYIL (UA),28.85,45.333333
ILLICHIVSK (UA),30.65,46.3
ODESA (UA),30.733333,46.483333
YUZHNYY (UA),31.016667,46.6
MYKOLAYIV (UA),31.983333,46.95
KHERSON (UA),32.6,46.616667
OKHOTSK IY REYD (RU),143.2,59.366667
VOSTOCHNYY (RU),133.083333,42.75
SLAVYANKA (RU),131.383333,42.866667
MYS ROGATYY OKTYABRSKIY (RU),142.1,50.733333
MAPUTO (MZ),32.583333,-25.966667
CHINDE (MZ),36.5,-18.566667
QUELIMANE (MZ),36.883333,-17.883333
MOCAMBIQUE (MZ),40.733333,-15.033333
NACALA (MZ),40.666667,-14.533333
AL AHMADI (YE),42.966667,14.833333
ADEN (YE),44.95,12.783333
AL MUKALLA (YE),49.116667,14.516667
VYBORG (RU),28.75,60.716667
GAVAN VYSOTSK (RU),28.566667,60.616667
PRIMORSK (RU),28.633333,60.366667
SANKT-PETERBURG (RU),30.3,59.933333
MIKINDANI (TZ),40.133333,-10.266667
MTWARA (TZ),40.2,-10.266667
DAR ES SALAAM (TZ),39.3,-6.816667
CHAKE CHAKE (TZ),39.766667,-5.25
MOMBASA (KE),39.666667,-4.066667
KILIFI (KE),39.866667,-3.633333
MALINDI (KE),40.133333,-3.216667
MARKA (SO),44.783333,1.716667
MUQDISHO (SO),45.35,2.033333
POS'YET (RU),130.8,42.65
VLADIVOSTOK (RU),131.9,43.116667
BUKHTA GAYDAMAK (RU),132.683333,42.866667
NAKHODKA (RU),132.883333,42.8
SOVETSKAYA GAVAN (RU),140.283333,48.966667
BUKHTA VANINO (RU),140.283333,49.083333
ALEKSANDROVSK -SAKHALINSKIY (RU),142.133333,50.9
LAZAREV (RU),141.516667,52.216667
MOSKAL VO (RU),142.5,53.583333
BERBERA (SO),45.016667,10.45
DJIBOUTI (DJ),43.133333,11.6
ASSAB (ER),42.75,13.0
MITSIWA HARBOR (ER),39.466667,15.616667
PORT SUDAN (SD),37.233333,19.6
AL QUSAYR (EG),34.283333,26.1
BUR SAFAGA (EG),33.95,26.733333
ZEIT BAY TERMINAL (EG),33.6,27.833333
VITINO (RU),32.316667,67.083333
LAMU (KE),40.9,-2.266667
NISHTUN (YE),52.2,15.816667
AL MUKHA (YE),43.25,13.316667
ASH SHIHR OIL TERMINAL (YE),49.5,14.733333
RAS SUDR (EG),32.7,29.583333
DAMIETTA (EG),31.75,31.483333
BUR SAID (PORT SAID) (EG),32.3,31.266667
EL HAMRA OIL TERMINAL (EG),28.866667,30.983333
MERSA MATRUH (EG),27.233333,31.35
HAMRAWEIN (EG),34.2,26.25
EL MAADIYA (EG),30.15,31.266667
AL ISKANDARIYH (ALEXANDRIA) (EG),29.833333,31.166667
GELENDZHIK (RU),38.066667,44.55
BELGOROD-DNESTROVSKY (UA),30.366667,46.183333
DNIPRO-BUZKYY (UA),31.883333,46.733333
PORT OKTYABRSK (UA),31.933333,46.833333
UST-DUNAISK (UA),29.7,45.466667
SIDI KERIR (KURAYR) (EG),29.616667,31.1
PORT BERINGOVSKY (RU),179.366667,63.066667
SALIF (YE),42.666667,15.3
RENI (UA),28.3,45.433333
Suez (EG),32.355877,30.44337
Bosphorus (TR),29.07183305,41.11833286
